Variable_name,Exposure,Family,Description
hs_cotinine_adj_ln_iqr,Cotinine,,Cotinine
hs_as_m_log2_iqr,As,Metals,Arsenic (As)
hs_cd_m_log2_iqr,Cd,Metals,Cadmium (Cd)
hs_co_m_log2_iqr,Co,Metals,Cobalt (Co)
hs_cs_m_log2_iqr,Cs,Metals,Caesium (Cs)
hs_cu_m_log2_iqr,Cu,Metals,Copper (Cu)
hs_hg_m_log2_iqr,Hg,Metals,Mercury (Hg)
hs_mn_m_log2_iqr,Mn,Metals,Manganese (Mn)
hs_mo_m_log2_iqr,Mo,Metals,Molybdenum (Mo) 
hs_pb_m_log2_iqr,Pb,Metals,Lead (Pb)
hs_dde_adj_log2_iqr,DDE,OCs,Dichlorodiphenyldichloroethylene (DDE)
hs_ddt_adj_log2_iqr,DDT,OCs,Dichlorodiphenyltrichloroethane (DDT)
hs_hcb_adj_log2_iqr,HCB,OCs,Hexachlorobenzene (HCB)
hs_pcb118_adj_log2_iqr,PCB-118,OCs,Polychlorinated biphenyl-118 (PCB-118)
hs_pcb138_adj_log2_iqr,PCB-138,OCs,Polychlorinated biphenyl-138 (PCB-138)
hs_pcb153_adj_log2_iqr,PCB-153,OCs,Polychlorinated biphenyl-153 (PCB-153)
hs_pcb170_adj_log2_iqr,PCB-170,OCs,Polychlorinated biphenyl-170 (PCB-170)
hs_pcb180_adj_log2_iqr,PCB-180,OCs,Polychlorinated biphenyl-180 (PCB-180)
hs_dep_adj_log2_iqr,DEP,OP Pesticides,Diethyl phosphate (DEP)
hs_detp_adj_log2_iqr,DETP,OP Pesticides,Diethyl thiophosphate (DETP)
hs_dmdtp_adj_log2_iqr,DMDTP,OP Pesticides,Dimethyl dithiophosphate (DMDTP)
hs_dmp_adj_log2_iqr,DMP,OP Pesticides,Dimethyl phosphate (DMP)
hs_dmtp_adj_log2_iqr,DMTP,OP Pesticides,Dimethyl thiophosphate (DMTP)
hs_pbde153_adj_log2_iqr,PBDE-153,PBDEs,Polybrominated diphenyl ether-153 (PBDE-153)
hs_pbde47_adj_log2_iqr,PBDE-47,PBDEs,Polybrominated diphenyl ether-47 (PBDE-47)
hs_pfhxs_m_log2_iqr,PFHxS,PFASs,Perfluorohexane sulfonate (PFHxS)
hs_pfna_m_log2_iqr,PFNA,PFASs,Perfluorononanoate (PFNA)
hs_pfoa_m_log2_iqr,PFOA,PFASs,Perfluorooctanoate (PFOA)
hs_pfos_m_log2_iqr,PFOS,PFASs,Perfluorooctane sulfonate (PFOS)
hs_pfunda_m_log2_iqr,PFUnDA,PFASs,Perfluoroundecanoate (PFUnDA)
hs_bpa_adj_log2_iqr,BPA,Phenols,Bisphenol A (BPA)
hs_bupa_adj_log2_iqr,BUPA,Phenols,N-Butyl paraben (BUPA)
hs_etpa_adj_log2_iqr,ETPA,Phenols,Ethyl paraben (ETPA)
hs_mepa_adj_log2_iqr,MEPA,Phenols,Methyl paraben (MEPA)
hs_oxbe_adj_log2_iqr,OXBE,Phenols,Oxybenzone (OXBE)
hs_prpa_adj_log2_iqr,PRPA,Phenols,Propyl paraben (PRPA)
hs_trcs_adj_log2_iqr,TRCS,Phenols,Triclosan (TRCS)
hs_mbzp_adj_log2_iqr,MBzP,Phthalates,Mono benzyl phthalate (MBzP)
hs_mecpp_adj_log2_iqr,MECPP,Phthalates,Mono-2-ethyl 5-carboxypentyl phthalate (MECPP)
hs_mehhp_adj_log2_iqr,MEHHP,Phthalates,Mono-2-ethyl-5-hydroxyhexyl phthalate (MEHHP)
hs_mehp_adj_log2_iqr,MEHP,Phthalates,Mono-2-ethylhexyl phthalate (MEHP)
hs_meohp_adj_log2_iqr,MEOHP,Phthalates,Mono-2-ethyl-5-oxohexyl phthalate (MEOHP)
hs_mep_adj_log2_iqr,MEP,Phthalates,Monoethyl phthalate (MEP)
hs_mibp_adj_log2_iqr,MiBP,Phthalates,Mono-iso-butyl phthalate (MiBP)
hs_mnbp_adj_log2_iqr,MnBP,Phthalates,Mono-n-butyl phthalate (MnBP)
hs_ohminp_adj_log2_iqr,ohMINP,Phthalates,Mono-4-methyl-7-hydroxyoctyl phthalate (ohMiNP)
hs_oxominp_adj_log2_iqr,oxo-MINP,Phthalates,Mono-oxo-isononyl phthalate (oxo-MiNP)
