"","     [ALL]      "
"","     N=708      "
"conception_trim:","                "
"    Jan-March","  208 (29.4%)   "
"    April-June","  159 (22.5%)   "
"    July-Sept","  174 (24.6%)   "
"    Oct-Dec","  164 (23.2%)   "
"    'Missing'","    3 (0.4%)    "
"smoking:","                "
"    No","  553 (78.1%)   "
"    Yes","  145 (20.5%)   "
"    'Missing'","   10 (1.4%)    "
"parity:","                "
"    No_child","  317 (44.8%)   "
"    1_child","  268 (37.9%)   "
"    2_or_more_children","  114 (16.1%)   "
"    'Missing'","    9 (1.3%)    "
"mother_edu:","                "
"    Primary","   89 (12.6%)   "
"    Secondary","  292 (41.2%)   "
"    >=University","  317 (44.8%)   "
"    'Missing'","   10 (1.4%)    "
"mother_work:","                "
"    Unemployed","  128 (18.1%)   "
"    Employed","  560 (79.1%)   "
"    'Missing'","   20 (2.8%)    "
"mother_bmi:","                "
"    Normal_weight","  426 (60.2%)   "
"    Underweight","   28 (4.0%)    "
"    Overweight","  158 (22.3%)   "
"    Obesity","   87 (12.3%)   "
"    'Missing'","    9 (1.3%)    "
"weight_gain_cat:","                "
"    Adequate","  199 (28.1%)   "
"    Insufficient","  186 (26.3%)   "
"    Excessive","  263 (37.1%)   "
"    'Missing'","   60 (8.5%)    "
"sex:","                "
"    Female","  313 (44.2%)   "
"    Male","  395 (55.8%)   "
"child_age"," 5.6 [4.2;6.4]  "
"mother_age","30.9 [27.7;34.1]"
"h_sdq_external"," 5.0 [2.8;7.0]  "
"h_sdq_internal"," 3.0 [1.0;5.0]  "
